478,PAPI0478 L. Papirius (44) Sp. f. C. n. Crassus,Papirius,Crassus
479,VETU0479 L. Veturius (12) L. f. Sp. n. Crassus Cicurinus,Veturius,Crassus
481,LICI0481 C. Licinius (42) C. f. P. n. Calvus,Licinius,Calvus
482,GEGA0482 M. Geganius (5) Macerinus,Geganius,Macerinus
483,QUIN0483 T. Quinctius (35) Pennus Capitolinus Crispinus,Quinctius,Pennus
484,AEMI0484 L. Aemilius (95 cf. 94) L. f. Mam. n. Mamercinus (or Mamercus),Aemilius,Mamercinus
485,POST0485 -. Postumius (59) Regillensis Albinus,Postumius,Regillensis
486,FURI0486 Sp. Furius (48) M. f. L. n. Camillus,Furius,Camillus
487,QUIN0487 Cn. Quinctius (22) T. f. T. n. Capitolinus,Quinctius,Capitolinus
489,GENU0489 L. Genucius (14) M. f. Cn. n. Aventinensis,Genucius,Aventinensis
490,SERV0490 Q. Servilius (35) Q. f. Q. n. Ahala,Servilius,Ahala
491,POPI0491 M. Popillius (20) M. f. C. n. Laenas,Popillius,Laenas
492,GENU0492 Cn. Genucius (13) M. f. M. n. Aventinensis,Genucius,Aventinensis
493,MANL0493 L. Manlius (54) A. f. A. n. Capitolinus Imperiosus,Manlius,Capitolinus
494,PINA0494 L. Pinarius (18) Natta,Pinarius,Natta
495,CORN0495 -. (Cornelius or Mucius) (not in RE) Sca.u.la (Scapula or Scaevola),(Cornelius or Mucius),Sca.u.la (Scapula or Scaevola)
497,MANL0497 T. Manlius (57) L. f. A. n. Imperiosus Torquatus,Manlius,Imperiosus
498,FABI0498 M. Fabius (44) N. f. M. n. Ambustus,Fabius,Ambustus
499,POET0499 C. Poetelius (7) C. f. Q. n. Libo Visolus,Poetelius,Libo
500,MANL0500 Cn. Manlius (53) L. f. A. n. Capitolinus Imperiosus,Manlius,Capitolinus
501,FABI0501 C. Fabius (40) N. f. M. n. Ambustus,Fabius,Ambustus
502,PLAU0502 C. Plautius (27) P. f. P. n. Proculus,Plautius,Proculus
