243,VERG0243 L. Verginius (14) Tricostus,cos.? 435,-375
244,SERV0244 Q. Servilius (75) P. f. Sp. n. Ser. Priscus Fidenas,dict. 418,-390
245,MANL0245 M. Manlius (50) Capitolinus (Vulso),cos. 434,-375
246,SULP0246 Q. Sulpicius (37) Ser. ? f. - n. Camerinus Praetextatus,cos. 434,-375
247,CORN0247 Ser. Cornelius (121) Cossus,tr. mil. c. p. 434,-375
249,POST0249 A. Postumius (63) Tubertus,dict. 431,-375
251,PINA0251 L. Pinarius (11) Mamercinus,tr. mil. c. p. 432,-375
252,FURI0252 L. Furius (65) Sp. f. - n. Medullinus,cos. 413,-325
254,QUIN0254 T. Quinctius (34) L. f. L. n. Pennus Cincinnatus,cos. 431,-350
255,IULI0255 Cn. (or C.) Iulius (360) Mento,cos. 431,-375
258,POST0258 Sp. Postumius (52) Sp.? f. A.? n. Albus (Regillensis),leg. lieut. 431,-439
260,PAPI0260 C. Papirius (see 10  43) Crassus,cos.? 430,-375
261,IULI0261 L. (or C.) Iulius (296  cf. 14) Vop. f. C. n. Iullus,cos. 430,-375
262,PAPI0262 L. Papirius (13  cf. 65),cens. 430,-375
263,PINA0263 P. Pinarius (5),cens. 430,-375
264,LUCR0264 Hostus Lucretius (27) Tricipitinus,cos. 429,-375
266,SERV0266 C. Servilius (37) Structus Ahala,cos. 427,-350
267,PAPI0267 L. Papirius (cf. 65) (L. f. - n.) Mugillanus,cos. 427,-350
268,POST0268 M. Postumius (17) (A. f. A. n.) (Albinus) (Regillensis),tr. mil. c. p. 426,-375
269,SEMP0269 A. Sempronius (22  cf. 2) L. f. A. n. Atratinus,cos. 428,-350
270,HORA0270 L. Horatius (7) M. f. M. n. Barbatus,tr. mil. c. p. 425,-375
271,CLAU0271 Ap. Claudius (121) Ap. f. Ap. n. Crassus,tr. mil. c. p. 424,-350
272,NAUT0272 Sp. Nautius (9) Sp. f. - n. Rutilus,tr. mil. c. p. 424,-350
273,IULI0273 Sex. Iulius (300) Iullus,tr. mil. c. p. 424,-350
274,SEMP0274 C. Sempronius (24) Atratinus,cos. 423,-350
275,FABI0275 Q. Fabius (46  166) Q. f. M. n. Vibulanus,cos.? 412,-350
276,IUNI0276 C. Iunius (12),tr. pl. 423,-350
277,TEMP0277 Sex. Tempanius (1),tr. pl. 422,-350
278,MANL0278 L. Manlius (49) Capitolinus,tr. mil. c. p. 422,-350
279,ANTO0279 Q. Antonius (77) (T. f. - n.) Merenda,tr. mil. c. p. 422,-350
280,ANTI0280 Ti. Antistius (21),tr. pl. 422,-350
281,ASEL0281 M. Asellius (not in RE),tr. pl. 422,-350
282,SPUR0282 Ti. Spurillius (Col. 1888),tr. pl. 422,-350
283,HORT0283 L. Hortensius (3),tr. pl. 422,-350
285,QUIN0285 T. Quinctius (25) T. f. L. n. Capitolinus Barbatus,cos. 421,-350
286,MANL0286 M. Manlius (96) Vulso,tr. mil. c. p. 420,-350
287,ANTI0287 A. Antistius (not in RE),tr. pl. 420,-350
288,POMP0288 Sex. Pompilius (2),tr. pl. 420,-350
289,CANU0289 M. Canuleius (9),tr. pl. 420,-350
290,MINU0290 Sp. Minucius (28),pont. max. 420,-350
292,MENE0292  Menenius (4  13  14) T. f. Agripp. n. Lanatus,cos. 439,-350
293,LUCR0293 P. Lucretius (29) Hosti f. - n. Tricipitinus,tr. mil. c. p. 417,-350
294,NAUT0294 Sp. Nautius (10) Sp. f. Sp. n. Rutilus,cos. 411,-350
295,PAPI0295 M. Papirius (68) L. f. - n. Mugillanus,tr. mil. c. p. 416,-350
296,RUTI0296 Sp. Rutilius (14) Crassus,tr. mil. c. p.? 417,-350
297,VETU0297 Sp. Veturius (14) Sp. f. Sp. n. Crassus Cicurinus,tr. mil. c. p.? 417,-350
298,MAEC0298 Sp. Maecilius (1),tr. pl. 416,-350
299,METI0299 M. Metilius (7),tr. pl. 416,-350
300,CORN0300 P. Cornelius (118) A. f. P. n. Cossus,father of? Cn. Cornelius (117) P. f. A. n. Cossus,-350
301,VALE0301 C. Valerius (309) L. f. Volus. n. Potitus Volusus,cos. 410,-325
303,QUIN0303 Q. Quinctius (30) L. f. L. n. Cincinnatus,tr. mil. c. p. 415,-350
304,DECI0304 L. Decius (not in RE),tr. pl. 415,-350
305,CORN0305 Cn. Cornelius (116) A. f. M. n. Cossus,cos. 409,-350
306,VALE0306 L. Valerius (307) L. f. P. n. Potitus,cos. 393,-325
307,POST0307 P. Postumius (60  cf. 1  51) A. f. A. n. Albinus Regillensis,tr. mil. c. p. 414,-414
308,SEXT0308 M. Sextius (7),tr. pl. 414,-350
309,SEXT0309 P. Sextius (Sestius 5),q. 414,-414
310,CORN0310 A. (or M.) Cornelius (113  cf. 112  114) Cossus,cos. 413,-350
311,FABI0311 Q. Fabius (166  cf. 46) Vibulanus,cos. 423,-350
312,FURI0312 C. Furius (74) Pacilus,cos. 412,-350
313,ICIL0313 L. Icilius (3),tr. pl. 412,-350
314,PAPI0314 M. Papirius (30  68) L. f.  Mugillanus (or Atratinus),cos. 411,-350
316,AEMI0316 M'. Aemilius (98) Mam. f. M. n. Mamercinus,cos. 410,-350
